industry,deal_value,weighted_amount,date_of_creation,pitch,lead_revenue,fund_category,geography,location,poc_name,designation,hiring_candidate_role,lead_source,level_of_meeting,last_lead_update,internal_poc,resource,internal_rating,success_probability
Information Services,146648.0,865223.2,2020-11-08,Product_1,100 - 500 Million,Category 2,USA,"State College, PA",John Ray,SVP/General Counsel,Advertising account executive,Marketing Event,Level 1,5 days back,"Gaskins Jr,Franklin D",Yes,2,66.2
Venture Capital,327642.0,2047762.5,2020-11-08,Product_2,50 - 100 Million,Category 4,,"Burlington, NC",Christopher Pugh,CEO,Hydrographic surveyor,Marketing Event,Level 1,No track,"Davis,Sharrice A",Yes,2,63.7
Electric Utilities,446140.0,3078366.0,2020-11-08,Product_2,100 - 500 Million,Category 4,,"East Stroudsburg, PA",Alexander Booth,CEO,Chief Marketing Officer,Website,Level 3,No track,"Van Arter,Derrick",Yes,2,68.9
Banks,80333.0,530197.8,2020-11-08,Product_1,50 - 100 Million,Category 1,India,Nalgonda,anita,CEO,Operational researcher,Others,Level 3,More than 2 weeks,"Turner,Marlon D",No,5,67.9
Investment Bank/Brokerage,63991.0,419141.05,2020-11-08,Product_1,50 - 100 Million,Category 4,USA,"San Angelo, TX",Michael Woodard,CEO,Hotel manager,Marketing Event,Level 2,No track,"Dimattia,Frank D",Yes,3,66.6
Real Estate,158683.0,920361.4,2020-11-08,Product_1,100 - 500 Million,Category 3,India,Kota,muskan,SVP/General Counsel,Farm manager,Others,Level 2,More than 2 weeks,"Sutton,Michelle R",Yes,3,60.6
Insurance,55307.0,334607.35,2020-11-09,Product_2,100 - 500 Million,Category 1,India,Hisar,priyanka,CEO,"Scientist, audiological",Website,Level 1,Up-to-date,"Murray,Younetta",No,2,59.0
Human Resources,364919.0,2298989.7,2020-11-09,Product_2,500 Million - 1 Billion,Category 4,USA,"Spartanburg, SC",Brittany Hicks,CEO,Fast food restaurant manager,Contact Email,Level 1,More than a week back,"Robinson,John C",No,1,107.34
"Oil, Gas, Coal",48997.0,303781.4,2020-11-09,Product_1,50 - 100 Million,Category 3,USA,"San Antonio-New Braunfels, TX",John Hale,SVP/General Counsel,Osteopath,Marketing Event,Level 3,More than a week back,"Jones,Michael L",No,2,65.6
Information Services,258405.0,1705473.0,2020-11-09,Product_1,50 - 100 Million,Category 4,India,Hapur,smt purnima,SVP/General Counsel,"Scientist, water quality",Marketing Event,Level 3,No track,"Green,Ann E",No,2,61.1
Banks,491088.0,3339398.4,2020-11-09,Product_1,100 - 500 Million,Category 4,India,Salem,meenu,CEO,Marine scientist,Marketing Event,Level 2,No track,"Hameier,Kurt E",No,5,64.2
Banks,400051.0,2560326.4,2020-11-09,Product_2,50 - 100 Million,Category 4,India,Mirzapur,kavita,CEO,Sales promotion account executive,Website,Level 1,more than a month,"Maine,John P",Yes,5,62.3
Services,30196.0,194764.2,2020-11-09,Product_2,500 Million - 1 Billion,Category 1,USA,"El Paso, TX",Laura Myers,CEO,Chief Executive Officer,Others,Level 3,2 days back,"Moran,Natalie A",No,1,68.5
Banks,64832.0,379267.2,2020-11-09,Product_1,100 - 500 Million,Category 3,USA,"Wheeling, WV-OH",Dorothy King,CEO,Travel agency manager,Website,Level 1,Up-to-date,"Hameier,Kurt E",No,1,63.0
Banks,454911.0,2638483.8,2020-11-09,Product_1,100 - 500 Million,Category 3,India,Patna,manisha,CEO,Youth worker,Marketing Event,Level 1,?,"Dunaway,Antoine",No,1,57.7
Banks,348389.0,,2020-11-10,Product_2,500 Million - 1 Billion,Category 2,India,Talcher,nisha,SVP/General Counsel,"Scientist, water quality",Contact Email,Level 1,,"Pappas,Mark S",Yes,5,62.6
Lending/Mortgage,382045.0,2330474.5,2020-11-10,Product_1,100 - 500 Million,Category 2,India,Ratlam,mangla urf mangi bai,CEO,Medical illustrator,Marketing Event,Level 2,No track,"Cash,Tyrone J",Yes,3,64.1
Investment Bank/Brokerage,391928.0,2449550.0,2020-11-10,Product_2,50 - 100 Million,Category 4,USA,"Michigan City-La Porte, IN",William Weber,CEO,Exhibition designer,Contact Email,Level 1,,"Hameier,Kurt E",Yes,3,63.6
Biotech/Healthcare,64922.0,389532.0,2020-11-10,Product_2,50 - 100 Million,Category 2,India,Baramula,neha,SVP/General Counsel,Amenity horticulturist,Contact Email,Level 3,No track,"Charles,Caleb",Yes,4,61.0
Health/Accident,26800.0,160800.0,2020-11-10,Product_1,100 - 500 Million,Category 4,USA,"Pittsburgh, PA",Charlotte Baker,CEO,Advertising account executive,Others,Level 1,No track,"Shelton,Sidney P",Yes,4,62.400000000000006
Real Estate,274751.0,1675981.1,2020-11-10,Product_2,50 - 100 Million,Category 2,USA,"Cedar Rapids, IA",Eric Irwin,CEO,Quality manager,Contact Email,Level 3,more than a month,"Georgakopoulos,Vasilios T",No,2,66.8
Machine Tools,446766.0,2814625.8,2020-11-10,Product_2,50 - 100 Million,Category 2,USA,"Vallejo-Fairfield, CA",Alexander Tran,SVP/General Counsel,"Research officer, political party",Marketing Event,Level 3,More than 2 weeks,"Turner,Marlon D",Yes,1,70.1
Conglomerates,479612.0,2877672.0,2020-11-10,Product_1,100 - 500 Million,Category 1,,Guntur,सुश्री आशा कुमारी,SVP/General Counsel,"Civil engineer, contracting",Contact Email,Level 1,?,"Pappas,Mark S",Yes,2,57.400000000000006
Beverages (Alcoholic),381262.0,2440076.8,2020-11-11,Product_1,100 - 500 Million,Category 3,India,Rajkot,sita devi  @ satto,CEO,"Nurse, adult",Marketing Event,Level 2,No track,"Gilley,Janine",Yes,5,64.7
Banks,349438.0,2183987.5,2020-11-11,Product_2,500 Million - 1 Billion,Category 3,India,Jammu,ram lal bhardwaj,CEO,Commercial/residential surveyor,Website,Level 2,?,"Hebron,Artenia D",No,3,64.3
Legal,124033.0,769004.6,2020-11-11,Product_1,100 - 500 Million,Category 3,USA,"Atlantic City-Hammonton, NJ",Dawn Williams,SVP/General Counsel,Set designer,Contact Email,Level 2,,"Hameier,Kurt E",No,4,66.3
Banks,438707.0,2478694.55,2020-11-11,Product_1,50 - 100 Million,Category 3,USA,"Mankato-North Mankato, MN",Rhonda Ferrell,SVP/General Counsel,Ceramics designer,Contact Email,Level 1,No track,"Mabrey,Kevin C",No,1,60.900000000000006
Financial Services,320199.0,1873164.15,2020-11-11,Product_1,50 - 100 Million,Category 4,India,Shahbazpur,karishma d/o,SVP/General Counsel,"Designer, industrial/product",Contact Email,Level 1,No track,"Heidelberg,Andre D",No,2,8.0
Other Biz Services,399945.0,2479659.0,2020-11-11,Product_1,100 - 500 Million,Category 1,India,New Delhi,shahin,CEO,Graphic designer,Others,Level 2,No track,"Shelton,Sidney P",No,3,63.6
Service Providers,174434.0,,2020-11-12,Product_2,500 Million - 1 Billion,Category 2,USA,"Hickory-Lenoir-Morganton, NC",Heather Clark,SVP/General Counsel,Early years teacher,Others,Level 1,More than a week back,"Kiepea,Prince A",No,3,68.8
Machine Tools,442954.0,2967791.8,2020-11-12,Product_2,100 - 500 Million,Category 4,,Saidpur,kumari kajal,CEO,Field trials officer,Website,Level 3,2 days back,"Davis,Brian R",No,2,61.900000000000006
Food Processing,189266.0,1012573.1,2020-11-12,Product_2,50 - 100 Million,Category 2,,Port Blair,rada,SVP/General Counsel,Holiday representative,Others,Level 1,Up-to-date,"Featherstone,Adrian R",No,3,59.900000000000006
Energy,63287.0,427187.25,2020-11-12,Product_2,500 Million - 1 Billion,Category 4,USA,"Ann Arbor, MI",Brian Lucas,CEO,Fine artist,Website,Level 1,More than 2 weeks,"McKenstry,Loretta A",Yes,5,69.2
Peripherals/Comp.,236831.0,1444669.1,2020-11-12,Product_2,500 Million - 1 Billion,Category 3,USA,"Knoxville, TN",Matthew Smith,CEO,Estate manager/land agent,Contact Email,Level 2,more than a month,"Vickers Jr.,Henry J",No,2,64.5
Banks,227941.0,1527204.7,2020-11-12,Product_1,500 Million - 1 Billion,Category 1,,"Champaign-Urbana, IL",Laura Sharp,SVP/General Counsel,Radio producer,Marketing Event,Level 2,No track,"Ross,Eric L",No,2,26.35
Health/Accident,195434.0,1250777.6,2020-11-12,Product_1,50 - 100 Million,Category 1,USA,"Wichita Falls, TX",Scott Jordan,CEO,Soil scientist,Website,Level 2,No track,"Logan,Kevin N",Yes,1,69.2
Medical Equipment,243194.0,1519962.5,2020-11-13,Product_1,50 - 100 Million,Category 1,USA,"Denver-Aurora-Lakewood, CO",Mr. Joseph Benitez,CEO,Scientific laboratory technician,Contact Email,Level 1,More than a week back,"Murray,Younetta",No,3,67.1
REIT,184442.0,1078985.7,2020-11-13,Product_2,50 - 100 Million,Category 4,India,Budaun,geeta kumari,SVP/General Counsel,Contracting civil engineer,Others,Level 1,No track,"Georgakopoulos,Vasilios T",Yes,3,26.35
Banks,94024.0,573546.4,2020-11-13,Product_1,500 Million - 1 Billion,Category 3,USA,"Virginia Beach-Norfolk-Newport News, VA-NC",Tara Smith,SVP/General Counsel,Barista,Others,Level 2,?,"Clavey,Therese A",,3,69.0
Hospitals/Clinics,254202.0,1601472.6,2020-11-13,Product_2,500 Million - 1 Billion,Category 1,India,Madurai,neetu kumari,SVP/General Counsel,Financial manager,Marketing Event,Level 1,No track,"Tondeur,Keith D",Yes,2,107.34
Insurance,105507.0,659418.75,2020-11-13,Product_1,500 Million - 1 Billion,Category 3,USA,"Atlantic City-Hammonton, NJ",Ryan Johnson,CEO,Art therapist,Website,Level 2,more than a month,"Sutton,Michelle R",Yes,1,68.1
Utilities,303093.0,2091341.7,2020-11-13,Product_2,100 - 500 Million,Category 1,USA,"Columbus, GA-AL",Patrick Wood,CEO,Barrister's clerk,Website,Level 3,Up-to-date,"Brown,Maxine A",Yes,1,72.4
Software,254779.0,1426762.4,2020-11-13,Product_2,50 - 100 Million,Category 3,India,Purnea,soni,SVP/General Counsel,"Surveyor, rural practice",Website,Level 1,5 days back,"Logan,Kevin N",No,2,57.5
Software,129911.0,,2020-11-13,Product_2,500 Million - 1 Billion,Category 4,India,Bhiwani,manjit  kour,CEO,Drilling engineer,Others,Level 3,No track,"Shelton,Sidney P",No,1,61.0
Education/Training,487205.0,2850149.25,2020-11-13,Product_2,100 - 500 Million,Category 2,India,Nasik,preeti,CEO,"Surveyor, building control",Others,Level 3,Up-to-date,"Ali,Mohamed",Yes,1,61.6
Real Estate,312548.0,1812778.4,2020-11-14,Product_2,500 Million - 1 Billion,Category 2,USA,"Merced, CA",Joan Barnes,CEO,"Chemist, analytical",Others,Level 1,,"Murray,Younetta",No,3,68.8
Other,200816.0,1255100.0,2020-11-14,Product_2,500 Million - 1 Billion,Category 3,USA,"Scranton--Wilkes-Barre--Hazleton, PA",Jimmy Bryant,CEO,Ophthalmologist,Website,Level 2,Up-to-date,"Gilley,Janine",Yes,1,68.1
Architecture/Engineering,76106.0,521326.1,2020-11-14,Product_1,500 Million - 1 Billion,Category 4,,"Brunswick, GA",Leah Perez,CEO,Careers adviser,Contact Email,Level 3,5 days back,"Rocks,Michael J",No,2,66.7
Hospitals/Clinics,166493.0,1007282.65,2020-11-14,Product_1,50 - 100 Million,Category 3,India,Aurangabad,ashtha,CEO,Information systems manager,Contact Email,Level 2,Up-to-date,"Hanyok,John J",No,5,60.900000000000006
Electric Utilities,108615.0,651690.0,2020-11-14,Product_2,100 - 500 Million,Category 4,India,Allahabad,jyoti,CEO,Primary school teacher,Others,Level 1,more than a month,"Dunaway,Antoine",No,3,58.400000000000006
Restaurants,288481.0,1687613.85,2020-11-14,Product_2,50 - 100 Million,Category 3,,"Cape Girardeau, MO-IL",Christopher Walker,CEO,Sports coach,Contact Email,Level 1,No track,"Tondeur,Keith D",No,3,64.1
Financial Services,208736.0,1273289.6,2020-11-14,Product_2,500 Million - 1 Billion,Category 3,India,Gulbarga,smt kavita,SVP/General Counsel,Media planner,Contact Email,Level 2,More than 2 weeks,"Jones,Michael L",No,3,26.35
B2B eCommerce,370966.0,2355634.1,2020-11-15,Product_1,50 - 100 Million,Category 3,USA,"Memphis, TN-MS-AR",David Walton,CEO,Administrator,Website,Level 3,No track,"Hebron,Artenia D",No,1,68.9
Staffing/Outsourcing/HR,81419.0,508868.75,2020-11-15,Product_1,50 - 100 Million,Category 1,,"La Crosse-Onalaska, WI-MN",Samuel White,CEO,"Civil engineer, consulting",Others,Level 2,More than a week back,"Tondeur,Keith D",Yes,3,70.1
Network Infrastructure,25686.0,166959.0,2020-11-15,Product_2,500 Million - 1 Billion,Category 4,USA,"Punta Gorda, FL",Beth Black,CEO,"Engineer, manufacturing systems",Marketing Event,Level 1,More than 2 weeks,"Turner,Marlon D",No,4,65.8
Financial Services,181285.0,1169288.25,2020-11-15,Product_2,50 - 100 Million,Category 4,India,Dhanbad,pragti,CEO,"Editor, commissioning",Marketing Event,Level 1,,"Smith,Keenan H",No,5,62.0
Other Biz Services,438305.0,2870897.75,2020-11-15,Product_1,100 - 500 Million,Category 4,India,Mumbai,nikki,CEO,"Engineer, electrical",Contact Email,Level 3,More than a week back,"Green,Ann E",Yes,2,58.3
Banks,316605.0,1741327.5,2020-11-15,Product_2,500 Million - 1 Billion,Category 3,,Bulandshahr,pinky,SVP/General Counsel,"Scientist, research (medical)",Others,Level 1,,"Dyson,William A",No,1,57.1
Food Processing,155086.0,1046830.5,2020-11-15,Product_1,100 - 500 Million,Category 1,USA,"San Francisco-Oakland-Hayward, CA",Alexander Woodard,CEO,"Producer, radio",Contact Email,Level 3,more than a month,"Dimattia,Frank D",No,2,68.8
Healthcare Facilities/Services,481801.0,3348516.95,2020-11-15,Product_1,100 - 500 Million,Category 4,India,Gopalpur,sunita,CEO,Marine scientist,Marketing Event,Level 3,?,"Dimattia,Frank D",No,4,64.8
Insurance,185398.0,1186547.2,2020-11-16,Product_2,500 Million - 1 Billion,Category 2,USA,"Dalton, GA",Jason Shannon,CEO,Meteorologist,Contact Email,Level 2,5 days back,"Cashin,Marc C",Yes,5,71.3
Entertainment/Media,243861.0,1463166.0,2020-11-16,Product_2,100 - 500 Million,Category 3,India,Ajmer,babita,CEO,"Accountant, chartered",Marketing Event,Level 2,2 days back,"Murray,Younetta",No,2,59.400000000000006
Insurance,46088.0,297267.6,2020-11-16,Product_2,500 Million - 1 Billion,Category 4,India,Mangalore,buity,SVP/General Counsel,"Designer, furniture",Contact Email,Level 3,,"Kiepea,Prince A",No,1,56.7
Hospitals/Clinics,75323.0,,2020-11-16,Product_1,50 - 100 Million,Category 3,USA,"Augusta-Richmond County, GA-SC",Alexander Hernandez,CEO,Tax inspector,Website,Level 3,,"Green,Candy",No,3,72.1
Real Estate,492285.0,2904481.5,2020-11-16,Product_1,500 Million - 1 Billion,Category 1,India,Bhilai,ritu,CEO,"Production assistant, television",Others,Level 1,,"Smith,Keenan H",Yes,1,60.1
Insurance,283684.0,1829761.8,2020-11-16,Product_2,100 - 500 Million,Category 2,USA,"Odessa, TX",Craig Hammond,CEO,Automotive engineer,Contact Email,Level 3,More than a week back,"Pappas,Mark S",Yes,4,70.5
Metals/Mining,311269.0,2272263.7,2020-11-16,Product_1,100 - 500 Million,Category 4,USA,"Grand Junction, CO",Kenneth Black,SVP/General Counsel,"Teacher, special educational needs",Website,Level 3,No track,"Robinson,John C",Yes,5,74.2
Education/Training,434487.0,2693819.4,2020-11-16,Product_2,100 - 500 Million,Category 3,USA,"Trenton, NJ",Amanda Larson,SVP/General Counsel,Web designer,Marketing Event,Level 2,No track,"Davis,Brian R",Yes,2,26.35
Banks,216611.0,1386310.4,2020-11-17,Product_1,50 - 100 Million,Category 3,USA,"Jackson, MS",Corey Russell,CEO,Drilling engineer,Others,Level 3,more than a month,"Gaskins Jr,Franklin D",Yes,5,71.9
Iron/Steel,317742.0,2065323.0,2020-11-17,Product_2,500 Million - 1 Billion,Category 1,USA,"Tampa-St. Petersburg-Clearwater, FL",Matthew Moore,CEO,Charity officer,Contact Email,Level 1,,"Hameier,Kurt E",No,4,69.0
Staffing,113219.0,696296.85,2020-11-17,Product_2,50 - 100 Million,Category 2,USA,"Columbus, OH",Tara Hudson,SVP/General Counsel,Media planner,Marketing Event,Level 2,2 days back,"Brown,Maxine A",No,4,70.6
Restaurants,34447.0,218738.45,2020-11-17,Product_2,100 - 500 Million,Category 1,India,Thiruvananthapuram,mamtha,CEO,Charity officer,Website,Level 2,,"Clavey,Therese A",No,4,62.900000000000006
Healthcare Facilities/Services,364016.0,2475308.8,2020-11-17,Product_2,50 - 100 Million,Category 4,USA,"Green Bay, WI",Rachel Bryant,CEO,Amenity horticulturist,Others,Level 3,Up-to-date,"Salyers,Daniel L",No,5,71.4
Property/Casualty,415369.0,2533750.9,2020-11-17,Product_1,50 - 100 Million,Category 2,India,Bharatpur,reshma,CEO,Cartographer,Contact Email,Level 3,2 days back,"Charles,Caleb",No,4,63.0
Banks,481645.0,3275186.0,2020-11-17,Product_2,500 Million - 1 Billion,Category 1,India,Belgaum,jaismeen,CEO,Immunologist,Website,Level 3,2 days back,"Thomas,Lori E",No,1,66.8
Healthcare Facilities/Services,198786.0,1272230.4,2020-11-17,Product_1,50 - 100 Million,Category 3,USA,"Santa Cruz-Watsonville, CA",Justin Goodwin,CEO,Ergonomist,Marketing Event,Level 3,Up-to-date,"Ross,Eric L",No,1,68.6
Medical Equipment,370886.0,2225316.0,2020-11-17,Product_2,500 Million - 1 Billion,Category 2,India,Kollam,kajal,CEO,"Engineer, manufacturing systems",Others,Level 2,Up-to-date,"Rocks,Michael J",No,5,65.6
Banks,32120.0,200750.0,2020-11-17,Product_1,500 Million - 1 Billion,Category 1,India,Parbhani,swati singh,SVP/General Counsel,Biomedical scientist,Others,Level 3,Up-to-date,"Featherstone,Adrian R",No,2,107.34
Insurance,241776.0,1474833.6,2020-11-18,Product_2,500 Million - 1 Billion,Category 3,India,Thanjavur,roshani,CEO,Chartered certified accountant,Contact Email,Level 2,2 days back,"Abdul-Hamid,Saud Muhamad",Yes,4,60.7
Retail,265032.0,1788966.0,2020-11-18,Product_2,100 - 500 Million,Category 4,,Vizianagaram,reshma,CEO,Archivist,Contact Email,Level 3,2 days back,"Massiah,Gerard F",Yes,4,107.34
Industrial Equip,240589.0,1539769.6,2020-11-18,Product_1,100 - 500 Million,Category 1,USA,"Salisbury, MD-DE",Christopher Allison,SVP/General Counsel,Amenity horticulturist,Contact Email,Level 2,2 days back,"Gaskins Jr,Franklin D",No,2,66.1
Investment Bank/Brokerage,220037.0,1331223.85,2020-11-18,Product_1,50 - 100 Million,Category 4,,"San Jose-Sunnyvale-Santa Clara, CA",Erika Mccoy,SVP/General Counsel,Software engineer,Others,Level 2,,"Thomas,Lori E",Yes,2,63.400000000000006
Healthcare Facilities/Services,477679.0,3057145.6,2020-11-18,Product_1,100 - 500 Million,Category 4,USA,"Green Bay, WI",Natasha King,SVP/General Counsel,Public relations account executive,Others,Level 2,More than 2 weeks,"Tondeur,Keith D",No,4,107.34
Banks,370566.0,,2020-11-18,Product_1,500 Million - 1 Billion,Category 4,India,Amaravati,neha,CEO,"Scientist, research (maths)",Marketing Event,Level 3,Up-to-date,"Smith,Keenan H",Yes,3,66.2
Banks,131167.0,773885.3,2020-11-18,Product_2,500 Million - 1 Billion,Category 3,USA,"Grand Rapids-Wyoming, MI",Cynthia Krueger,CEO,Banker,Others,Level 2,No track,"Davis,Sharrice A",Yes,1,65.8
Banks,310989.0,1772637.3,2020-11-18,Product_1,500 Million - 1 Billion,Category 3,India,Jammu,mehronisha,SVP/General Counsel,"Programmer, multimedia",Contact Email,Level 1,More than 2 weeks,"Hameier,Kurt E",Yes,2,55.8
Construction Services,235721.0,1579330.7,2020-11-18,Product_1,500 Million - 1 Billion,Category 1,USA,"Winston-Salem, NC",Jon Campbell,CEO,"Lecturer, higher education",Marketing Event,Level 2,more than a month,"Bannister,Joan",No,1,70.8
Health/Accident,198068.0,1208214.8,2020-11-19,Product_1,100 - 500 Million,Category 2,USA,"Springfield, MO",Phillip Ibarra,CEO,Musician,Contact Email,Level 2,?,"Georgakopoulos,Vasilios T",No,3,67.8
Banks,107276.0,665111.2,2020-11-19,Product_2,100 - 500 Million,Category 4,India,Muzaffarpur,kavita,SVP/General Counsel,Chief of Staff,Marketing Event,Level 1,More than 2 weeks,"Houston,Arnold E",No,1,57.2
Banks,164994.0,1022962.8,2020-11-19,Product_2,100 - 500 Million,Category 1,,Muzaffarpur,alisha loomba,CEO,Television production assistant,Contact Email,Level 1,5 days back,"Cash,Tyrone J",No,3,60.6
Banks,250388.0,1464769.8,2020-11-19,Product_1,100 - 500 Million,Category 2,,"Wichita, KS",Samantha Richardson,SVP/General Counsel,Communications engineer,Website,Level 1,5 days back,"Moran,Natalie A",No,2,66.5
Banks,351342.0,1879679.7,2020-11-19,Product_1,50 - 100 Million,Category 2,India,Moradabad,shikha saklani,CEO,Restaurant manager,Others,Level 1,No track,"Green,Ann E",No,3,59.900000000000006
Technology Consulting,40453.0,246763.3,2020-11-19,Product_2,500 Million - 1 Billion,Category 3,India,Vishakhapatnam,begam d/o,CEO,"Producer, television/film/video",Marketing Event,Level 2,5 days back,"Gaskins Jr,Franklin D",Yes,4,61.0
Banks,431098.0,2715917.4,2020-11-19,Product_2,500 Million - 1 Billion,Category 3,India,Nandyal,babli,CEO,"Scientist, research (medical)",Marketing Event,Level 2,Up-to-date,"Tondeur,Keith D",No,4,64.0
Financial Services,264029.0,,2020-11-20,Product_2,100 - 500 Million,Category 1,India,Kollam,gulshan,CEO,Arts administrator,Contact Email,Level 1,2 days back,"Robinson,John C",No,5,62.7
